id,day,weight,gender,adrenal,liver,heart,appendix,femstate,gonfat,bat,sulcer,kmethod,tail,blength,place,intestine,year,ADWBWind,gonind
rat565,339,358,1,146.8,27.53,1.64,3.96,2,0.83,0.254,1,1,18.2,22.2,3,179,6,0.410055865921788,0.60431596685333
rat566,177,387,1,190,27.56,1.27,4.19,3,2.14,0.524,1,1,18,24,3,184,8,0.490956072351421,1.14422279992016
rat567,162,368,1,184,27.72,1.33,8.81,2,0,0.767,1,1,18.3,23,3,192,8,0.5,0
rat568,177,385,1,179,27.73,1.5,8.77,3,0.54,0.228,1,1,17,25,3,201,8,0.464935064935065,0.431782416425538
rat569,179,435.9,1,280,28.2,1.9,9,4,0,0.3,1,3,17.1,21.8,2, ,5,0.642349162651984,0
rat570,177,384,1,148.5,28.5,1.43,4.02,2,1.12,0.574,1,1,18.4,23,3,198,8,0.38671875,0.751416088683921
rat571,177,388,1,157.5,28.51,1.35,5.65,2,2.34,0.522,1,1,19.4,24,3,174,8,0.405927835051546,1.20597080698861
rat572,81,453,1,211,28.6,1.6,5.8,1,0,0.695,4,3,19.5,22.5,2, ,5,0.465783664459161,0
rat573,276,358,1,201,28.8,1.59,5.93,3,0,0.221,2,1,17,22.5,3,185,7,0.56145251396648,0
rat574,127,442,1,164.5,29.94,1.55,5.99,3,4.71,1.15,1,1,19.8,24.5,3,182,7,0.372171945701357,1.74221902366792
rat575,269,381.8,1,145.5,30,1.4,5.6,4,1.9,0.395,1,1,17.1,22,3,177,6,0.381089575694081,1.06471073699243
rat576,169,416,1,195.5,32.99,1.63,6.14,1,1.7,0.556,1,1,17.5,23,3,196,7,0.469951923076923,0.993251773010283
rat577,244,476,1,181,38.41,2.04,4.19,2,3.54,0.758,1,1,17.5,24.5,3,191,8,0.380252100840336,1.51292701205326
rat578,230,459,1,237.5,39.13,1.69,7.41,2,0.5,0.559,1,1,20,24.5,3,226,8,0.517429193899782,0.405465108108164
rat579,75,299,2,50.8, , , , ,2.51,0.337,1,1,17.5,21.3,4, , ,0.169899665551839,1.25561603747777
rat580,79,290,2,96.8, , , , ,2.02,0.97,1,1,16.1,21.3,5, , ,0.333793103448276,1.10525683138678
